,From,From_FAF_Zone,To,To_FAF_Zone,trips,sctg2_code
285307,120950179021,123,121270901011,123,1.3330807759989063,1
657086,121170212012,123,121079506003,121,0.7017994967703928,1
2315886,120459602002,129,121079506003,121,2.7932792400818953,1
2316592,120459602002,129,120210102102,129,0.8022532057886396,1
2320712,120459602002,129,120111106001,122,0.7207147935528393,1
2464606,120459601005,129,121079506003,121,3.917830373447972,1
2465312,120459601005,129,120210102102,129,1.1252337151736362,1
2466572,120459601005,129,120310027011,121,0.5715141260822846,1
2469432,120459601005,129,120111106001,122,1.010868612152007,1
2910766,120632108001,129,121079506003,121,0.7001724729789822,1
3105246,120759707001,129,121079506003,121,0.5351288304744116,1
3426423,120231102012,129,120310002002,121,1.5733745108197883,1
3551406,120010020001,129,121079506003,121,3.6248155480566826,1
3552112,120010020001,129,120210102102,129,1.0410774018195632,1
3553372,120010020001,129,120310027011,121,0.5287705420318917,1
3556232,120010020001,129,120111106001,122,0.9352656733696988,1
3557348,120010020001,129,120010020002,129,2.0876399895622564,1
3594725,120510003003,129,120310003003,121,1.015187722693695,1
3595489,120510003003,129,120990080021,122,0.8169335571734547,1
3597166,120510003003,129,121079506003,121,11.497000428989047,1
3597307,120510003003,129,120210109053,129,1.0253164891187498,1
3597872,120510003003,129,120210102102,129,3.302034869539004,1
3598338,120510003003,129,120990037002,122,1.1081786592114902,1
3599119,120510003003,129,120499701011,129,0.7857896215285641,1
3599132,120510003003,129,120310027011,121,1.677126758032313,1
3600324,120510003003,129,121030272091,124,0.5768983574012142,1
3600407,120510003003,129,121030202061,124,0.6205964066228289,1
3600777,120510003003,129,120150304012,129,1.2851291821377122,1
3601051,120510003003,129,120710401131,129,0.6512696193374444,1
3601992,120510003003,129,120111106001,122,2.966426761691324,1
3602167,120510003003,129,120310103011,121,0.632958822220632,1
3603176,120510003003,129,121150020052,129,1.0302985320384006,1
3603410,120510003003,129,120510003001,129,0.6273514938777769,1
3608606,120510003002,129,121079506003,121,3.464461968579681,1
3609312,120510003002,129,120210102102,129,0.9950225100102719,1
3610572,120510003002,129,120310027011,121,0.5053789382350402,1
3612390,120510003002,129,120110901021,122,0.5385935537863958,1
