,sctg2,rmse,iter_count,top_rop,top_attr,top_orig,top_dest,threshold
10,3,142475.41346840258,9,"[120990079121.0, 120990080021.0, 121150020102.0, 120610509023.0, 120110601204.0, 120990083011.0, 121050116062.0, 120860052023.0, 120990058081.0, 120111106001.0]","[121150020102.0, 120010022173.0, 121050116062.0, 120010012032.0, 121050122051.0, 120710401181.0, 120090647005.0, 120710104073.0, 120710016014.0, 121170219011.0]","[121050116062, 120570125013, 120610502004, 120990079121, 120950169023, 120990079121, 121170206001, 120939101011, 120690303063, 120610509041]","[121050116062, 120570125013, 120090650011, 120710104073, 121050116062, 121050116062, 121170206001, 120710017033, 120310103011, 120950169023]",1000
11,3,140792.45481682394,10,"[120990079121.0, 121150020102.0, 120990080021.0, 120610509023.0, 120950169023.0, 120110601204.0, 121050116062.0, 120990083011.0, 120860052023.0, 120990058081.0]","[121150020102.0, 120010022173.0, 121050116062.0, 120010012032.0, 121050122051.0, 120710401181.0, 120090647005.0, 120710104073.0, 120710016014.0, 120010022052.0]","[120950169023, 121050116062, 120570125013, 120610502004, 120990079121, 121170206001, 121270823011, 120950170081, 120990079121, 120310027011]","[121050116062, 121050116062, 120570125013, 120090650011, 120710104073, 121170206001, 121050116062, 120950170081, 121050116062, 121050157021]",1000
12,3,141912.04928946513,11,"[120990079121.0, 120990080021.0, 121150020102.0, 120610509023.0, 120110601204.0, 120990083011.0, 121050116062.0, 120860052023.0, 120990058081.0, 120570125013.0]","[121150020102.0, 120010022173.0, 121050116062.0, 120010012032.0, 121050122051.0, 120710401181.0, 120090647005.0, 120710104073.0, 120710016014.0, 120010022052.0]","[121050116062, 120570125013, 120610502004, 120990079121, 120950169023, 120990079121, 121170206001, 120939101011, 120610509041, 120990080021]","[121050116062, 120570125013, 120090650011, 120710104073, 121050116062, 121050116062, 121170206001, 120710017033, 120950169023, 120710104073]",1000
13,3,140371.18999516175,12,"[120990079121.0, 120990080021.0, 121150020102.0, 120610509023.0, 120110601204.0, 120990083011.0, 121050116062.0, 120950169023.0, 120860052023.0, 120990058081.0]","[121150020102.0, 120010022173.0, 121050116062.0, 120010012032.0, 121050122051.0, 120710401181.0, 120090647005.0, 120710104073.0, 120710016014.0, 120010022052.0]","[121050116062, 120570125013, 120610502004, 120950169023, 120990079121, 120990079121, 121170206001, 120939101011, 120950170081, 120990080021]","[121050116062, 120570125013, 120090650011, 121050116062, 120710104073, 121050116062, 121170206001, 120710017033, 120950170081, 120710104073]",1000
14,3,140847.26428676507,13,"[120990079121.0, 120990080021.0, 121150020102.0, 120610509023.0, 120110601204.0, 120990083011.0, 121050116062.0, 120950169023.0, 120860052023.0, 120990058081.0]","[121150020102.0, 120010022173.0, 121050116062.0, 120010012032.0, 121050122051.0, 120710401181.0, 120090647005.0, 120710104073.0, 120710016014.0, 120010022052.0]","[121050116062, 120570125013, 120610502004, 120950169023, 120990079121, 120990079121, 121170206001, 120939101011, 120950170081, 120990080021]","[121050116062, 120570125013, 120090650011, 121050116062, 120710104073, 121050116062, 121170206001, 120710017033, 120950170081, 120710104073]",1000
15,3,140717.0589132499,14,"[120990079121.0, 120990080021.0, 121150020102.0, 120610509023.0, 120110601204.0, 120990083011.0, 121050116062.0, 120950169023.0, 120860052023.0, 120990058081.0]","[121150020102.0, 120010022173.0, 121050116062.0, 120010012032.0, 121050122051.0, 120710401181.0, 120090647005.0, 120710104073.0, 120710016014.0, 120010022052.0]","[121050116062, 120570125013, 120610502004, 120950169023, 120990079121, 120990079121, 121170206001, 120939101011, 120950170081, 120990080021]","[121050116062, 120570125013, 120090650011, 121050116062, 120710104073, 121050116062, 121170206001, 120710017033, 120950170081, 120710104073]",1000
16,3,140750.56490355864,15,"[120990079121.0, 120990080021.0, 121150020102.0, 120610509023.0, 120110601204.0, 120990083011.0, 121050116062.0, 120950169023.0, 120860052023.0, 120990058081.0]","[121150020102.0, 120010022173.0, 121050116062.0, 120010012032.0, 121050122051.0, 120710401181.0, 120090647005.0, 120710104073.0, 120710016014.0, 120010022052.0]","[121050116062, 120570125013, 120610502004, 120950169023, 120990079121, 120990079121, 121170206001, 120939101011, 120950170081, 120990080021]","[121050116062, 120570125013, 120090650011, 121050116062, 120710104073, 121050116062, 121170206001, 120710017033, 120950170081, 120710104073]",1000
17,3,140742.68512330356,16,"[120990079121.0, 120990080021.0, 121150020102.0, 120610509023.0, 120110601204.0, 120990083011.0, 121050116062.0, 120950169023.0, 120860052023.0, 120990058081.0]","[121150020102.0, 120010022173.0, 121050116062.0, 120010012032.0, 121050122051.0, 120710401181.0, 120090647005.0, 120710104073.0, 120710016014.0, 120010022052.0]","[121050116062, 120570125013, 120610502004, 120950169023, 120990079121, 120990079121, 121170206001, 120939101011, 120950170081, 120990080021]","[121050116062, 120570125013, 120090650011, 121050116062, 120710104073, 121050116062, 121170206001, 120710017033, 120950170081, 120710104073]",1000
18,3,140744.09118492733,17,"[120990079121.0, 120990080021.0, 121150020102.0, 120610509023.0, 120110601204.0, 120990083011.0, 121050116062.0, 120950169023.0, 120860052023.0, 120990058081.0]","[121150020102.0, 120010022173.0, 121050116062.0, 120010012032.0, 121050122051.0, 120710401181.0, 120090647005.0, 120710104073.0, 120710016014.0, 120010022052.0]","[121050116062, 120570125013, 120610502004, 120950169023, 120990079121, 120990079121, 121170206001, 120939101011, 120950170081, 120990080021]","[121050116062, 120570125013, 120090650011, 121050116062, 120710104073, 121050116062, 121170206001, 120710017033, 120950170081, 120710104073]",1000
19,3,140744.08227093512,18,"[120990079121.0, 120990080021.0, 121150020102.0, 120610509023.0, 120110601204.0, 120990083011.0, 121050116062.0, 120950169023.0, 120860052023.0, 120990058081.0]","[121150020102.0, 120010022173.0, 121050116062.0, 120010012032.0, 121050122051.0, 120710401181.0, 120090647005.0, 120710104073.0, 120710016014.0, 120010022052.0]","[121050116062, 120570125013, 120610502004, 120950169023, 120990079121, 120990079121, 121170206001, 120939101011, 120950170081, 120990080021]","[121050116062, 120570125013, 120090650011, 121050116062, 120710104073, 121050116062, 121170206001, 120710017033, 120950170081, 120710104073]",1000
20,3,140743.9085648144,19,"[120990079121.0, 120990080021.0, 121150020102.0, 120610509023.0, 120110601204.0, 120990083011.0, 121050116062.0, 120950169023.0, 120860052023.0, 120990058081.0]","[121150020102.0, 120010022173.0, 121050116062.0, 120010012032.0, 121050122051.0, 120710401181.0, 120090647005.0, 120710104073.0, 120710016014.0, 120010022052.0]","[121050116062, 120570125013, 120610502004, 120950169023, 120990079121, 120990079121, 121170206001, 120939101011, 120950170081, 120990080021]","[121050116062, 120570125013, 120090650011, 121050116062, 120710104073, 121050116062, 121170206001, 120710017033, 120950170081, 120710104073]",1000
21,3,140744.03271810024,20,"[120990079121.0, 120990080021.0, 121150020102.0, 120610509023.0, 120110601204.0, 120990083011.0, 121050116062.0, 120950169023.0, 120860052023.0, 120990058081.0]","[121150020102.0, 120010022173.0, 121050116062.0, 120010012032.0, 121050122051.0, 120710401181.0, 120090647005.0, 120710104073.0, 120710016014.0, 120010022052.0]","[121050116062, 120570125013, 120610502004, 120950169023, 120990079121, 120990079121, 121170206001, 120939101011, 120950170081, 120990080021]","[121050116062, 120570125013, 120090650011, 121050116062, 120710104073, 121050116062, 121170206001, 120710017033, 120950170081, 120710104073]",1000
