,sctg2,rmse,iter_count,top_rop,top_attr,top_orig,top_dest,threshold
193,10,8885.210304473065,24,"[120990077501.0, 120110104053.0, 121199105001.0, 121199106012.0, 120690313113.0, 120690310002.0, 120690302031.0, 121199103004.0, 120570139032.0, 120990079121.0]","[120990077501.0, 120110104053.0, 121050161001.0, 120990079121.0, 120499703005.0, 120950168031.0, 121050160032.0, 120570139032.0, 120570139072.0, 121050148022.0]","[120860080004, 120860080004, 120990005053, 120860046021, 120110920003, 120110920003, 120860080004, 120860080004, 120990005053, 120860078011]","[120150304012, 120860046021, 120990011021, 120860046021, 120150304012, 120860046021, 120860037026, 120710107013, 120150304012, 120150304012]",1000
194,11,222531.8960318319,1,"[121050161001.0, 121050116062.0, 120499703005.0, 121050160032.0, 120950169023.0, 120810019141.0, 120499702021.0, 121050148022.0, 120090650011.0, 120710014012.0]","[121050161001.0, 120860140001.0, 121050116062.0, 120499703005.0, 120990080021.0, 121050160032.0, 120950169023.0, 120810019141.0, 121050148022.0, 120499702021.0]","[120710103044, 120150304012, 120710103044, 120710104073, 120860080004, 120990005053, 120710104073, 121150020052, 120860080004, 120710103044]","[120150304012, 120150304012, 120860046021, 120150304012, 120150304012, 120990011021, 120860046021, 120150304012, 120860046021, 120710107013]",1000
195,11,222531.8967652416,2,"[121050161001.0, 121050116062.0, 120499703005.0, 121050160032.0, 120950169023.0, 120810019141.0, 120499702021.0, 121050148022.0, 120090650011.0, 120710014012.0]","[121050161001.0, 120860140001.0, 121050116062.0, 120499703005.0, 120990080021.0, 121050160032.0, 120950169023.0, 120810019141.0, 121050148022.0, 120499702021.0]","[120710103044, 120150304012, 120710103044, 120710104073, 120860080004, 120990005053, 120710104073, 121150020052, 120860080004, 120710103044]","[120150304012, 120150304012, 120860046021, 120150304012, 120150304012, 120990011021, 120860046021, 120150304012, 120860046021, 120710107013]",1000
196,11,222531.89670186167,3,"[121050161001.0, 121050116062.0, 120499703005.0, 121050160032.0, 120950169023.0, 120810019141.0, 120499702021.0, 121050148022.0, 120090650011.0, 120710014012.0]","[121050161001.0, 120860140001.0, 121050116062.0, 120499703005.0, 120990080021.0, 121050160032.0, 120950169023.0, 120810019141.0, 121050148022.0, 120499702021.0]","[120710103044, 120150304012, 120710103044, 120710104073, 120860080004, 120990005053, 120710104073, 121150020052, 120860080004, 120710103044]","[120150304012, 120150304012, 120860046021, 120150304012, 120150304012, 120990011021, 120860046021, 120150304012, 120860046021, 120710107013]",1000
197,11,222531.89668961984,4,"[121050161001.0, 121050116062.0, 120499703005.0, 121050160032.0, 120950169023.0, 120810019141.0, 120499702021.0, 121050148022.0, 120090650011.0, 120710014012.0]","[121050161001.0, 120860140001.0, 121050116062.0, 120499703005.0, 120990080021.0, 121050160032.0, 120950169023.0, 120810019141.0, 121050148022.0, 120499702021.0]","[120710103044, 120150304012, 120710103044, 120710104073, 120860080004, 120990005053, 120710104073, 121150020052, 120860080004, 120710103044]","[120150304012, 120150304012, 120860046021, 120150304012, 120150304012, 120990011021, 120860046021, 120150304012, 120860046021, 120710107013]",1000
198,11,222531.8966872004,5,"[121050161001.0, 121050116062.0, 120499703005.0, 121050160032.0, 120950169023.0, 120810019141.0, 120499702021.0, 121050148022.0, 120090650011.0, 120710014012.0]","[121050161001.0, 120860140001.0, 121050116062.0, 120499703005.0, 120990080021.0, 121050160032.0, 120950169023.0, 120810019141.0, 121050148022.0, 120499702021.0]","[120710103044, 120150304012, 120710103044, 120710104073, 120860080004, 120990005053, 120710104073, 121150020052, 120860080004, 120710103044]","[120150304012, 120150304012, 120860046021, 120150304012, 120150304012, 120990011021, 120860046021, 120150304012, 120860046021, 120710107013]",1000
199,11,222531.89668672186,6,"[121050161001.0, 121050116062.0, 120499703005.0, 121050160032.0, 120950169023.0, 120810019141.0, 120499702021.0, 121050148022.0, 120090650011.0, 120710014012.0]","[121050161001.0, 120860140001.0, 121050116062.0, 120499703005.0, 120990080021.0, 121050160032.0, 120950169023.0, 120810019141.0, 121050148022.0, 120499702021.0]","[120710103044, 120150304012, 120710103044, 120710104073, 120860080004, 120990005053, 120710104073, 121150020052, 120860080004, 120710103044]","[120150304012, 120150304012, 120860046021, 120150304012, 120150304012, 120990011021, 120860046021, 120150304012, 120860046021, 120710107013]",1000
200,11,222531.89668662718,7,"[121050161001.0, 121050116062.0, 120499703005.0, 121050160032.0, 120950169023.0, 120810019141.0, 120499702021.0, 121050148022.0, 120090650011.0, 120710014012.0]","[121050161001.0, 120860140001.0, 121050116062.0, 120499703005.0, 120990080021.0, 121050160032.0, 120950169023.0, 120810019141.0, 121050148022.0, 120499702021.0]","[120710103044, 120150304012, 120710103044, 120710104073, 120860080004, 120990005053, 120710104073, 121150020052, 120860080004, 120710103044]","[120150304012, 120150304012, 120860046021, 120150304012, 120150304012, 120990011021, 120860046021, 120150304012, 120860046021, 120710107013]",1000
201,11,222531.89668660844,8,"[121050161001.0, 121050116062.0, 120499703005.0, 121050160032.0, 120950169023.0, 120810019141.0, 120499702021.0, 121050148022.0, 120090650011.0, 120710014012.0]","[121050161001.0, 120860140001.0, 121050116062.0, 120499703005.0, 120990080021.0, 121050160032.0, 120950169023.0, 120810019141.0, 121050148022.0, 120499702021.0]","[120710103044, 120150304012, 120710103044, 120710104073, 120860080004, 120990005053, 120710104073, 121150020052, 120860080004, 120710103044]","[120150304012, 120150304012, 120860046021, 120150304012, 120150304012, 120990011021, 120860046021, 120150304012, 120860046021, 120710107013]",1000
202,11,222531.89668660477,9,"[121050161001.0, 121050116062.0, 120499703005.0, 121050160032.0, 120950169023.0, 120810019141.0, 120499702021.0, 121050148022.0, 120090650011.0, 120710014012.0]","[121050161001.0, 120860140001.0, 121050116062.0, 120499703005.0, 120990080021.0, 121050160032.0, 120950169023.0, 120810019141.0, 121050148022.0, 120499702021.0]","[120710103044, 120150304012, 120710103044, 120710104073, 120860080004, 120990005053, 120710104073, 121150020052, 120860080004, 120710103044]","[120150304012, 120150304012, 120860046021, 120150304012, 120150304012, 120990011021, 120860046021, 120150304012, 120860046021, 120710107013]",1000
203,11,222531.896686604,10,"[121050161001.0, 121050116062.0, 120499703005.0, 121050160032.0, 120950169023.0, 120810019141.0, 120499702021.0, 121050148022.0, 120090650011.0, 120710014012.0]","[121050161001.0, 120860140001.0, 121050116062.0, 120499703005.0, 120990080021.0, 121050160032.0, 120950169023.0, 120810019141.0, 121050148022.0, 120499702021.0]","[120710103044, 120150304012, 120710103044, 120710104073, 120860080004, 120990005053, 120710104073, 121150020052, 120860080004, 120710103044]","[120150304012, 120150304012, 120860046021, 120150304012, 120150304012, 120990011021, 120860046021, 120150304012, 120860046021, 120710107013]",1000
204,11,222531.89668660387,11,"[121050161001.0, 121050116062.0, 120499703005.0, 121050160032.0, 120950169023.0, 120810019141.0, 120499702021.0, 121050148022.0, 120090650011.0, 120710014012.0]","[121050161001.0, 120860140001.0, 121050116062.0, 120499703005.0, 120990080021.0, 121050160032.0, 120950169023.0, 120810019141.0, 121050148022.0, 120499702021.0]","[120710103044, 120150304012, 120710103044, 120710104073, 120860080004, 120990005053, 120710104073, 121150020052, 120860080004, 120710103044]","[120150304012, 120150304012, 120860046021, 120150304012, 120150304012, 120990011021, 120860046021, 120150304012, 120860046021, 120710107013]",1000
205,11,222531.8966866038,12,"[121050161001.0, 121050116062.0, 120499703005.0, 121050160032.0, 120950169023.0, 120810019141.0, 120499702021.0, 121050148022.0, 120090650011.0, 120710014012.0]","[121050161001.0, 120860140001.0, 121050116062.0, 120499703005.0, 120990080021.0, 121050160032.0, 120950169023.0, 120810019141.0, 121050148022.0, 120499702021.0]","[120710103044, 120150304012, 120710103044, 120710104073, 120860080004, 120990005053, 120710104073, 121150020052, 120860080004, 120710103044]","[120150304012, 120150304012, 120860046021, 120150304012, 120150304012, 120990011021, 120860046021, 120150304012, 120860046021, 120710107013]",1000
206,11,222531.8966866038,13,"[121050161001.0, 121050116062.0, 120499703005.0, 121050160032.0, 120950169023.0, 120810019141.0, 120499702021.0, 121050148022.0, 120090650011.0, 120710014012.0]","[121050161001.0, 120860140001.0, 121050116062.0, 120499703005.0, 120990080021.0, 121050160032.0, 120950169023.0, 120810019141.0, 121050148022.0, 120499702021.0]","[120710103044, 120150304012, 120710103044, 120710104073, 120860080004, 120990005053, 120710104073, 121150020052, 120860080004, 120710103044]","[120150304012, 120150304012, 120860046021, 120150304012, 120150304012, 120990011021, 120860046021, 120150304012, 120860046021, 120710107013]",1000
207,11,222531.8966866038,14,"[121050161001.0, 121050116062.0, 120499703005.0, 121050160032.0, 120950169023.0, 120810019141.0, 120499702021.0, 121050148022.0, 120090650011.0, 120710014012.0]","[121050161001.0, 120860140001.0, 121050116062.0, 120499703005.0, 120990080021.0, 121050160032.0, 120950169023.0, 120810019141.0, 121050148022.0, 120499702021.0]","[120710103044, 120150304012, 120710103044, 120710104073, 120860080004, 120990005053, 120710104073, 121150020052, 120860080004, 120710103044]","[120150304012, 120150304012, 120860046021, 120150304012, 120150304012, 120990011021, 120860046021, 120150304012, 120860046021, 120710107013]",1000
208,11,222531.8966866038,15,"[121050161001.0, 121050116062.0, 120499703005.0, 121050160032.0, 120950169023.0, 120810019141.0, 120499702021.0, 121050148022.0, 120090650011.0, 120710014012.0]","[121050161001.0, 120860140001.0, 121050116062.0, 120499703005.0, 120990080021.0, 121050160032.0, 120950169023.0, 120810019141.0, 121050148022.0, 120499702021.0]","[120710103044, 120150304012, 120710103044, 120710104073, 120860080004, 120990005053, 120710104073, 121150020052, 120860080004, 120710103044]","[120150304012, 120150304012, 120860046021, 120150304012, 120150304012, 120990011021, 120860046021, 120150304012, 120860046021, 120710107013]",1000
209,11,222531.8966866038,16,"[121050161001.0, 121050116062.0, 120499703005.0, 121050160032.0, 120950169023.0, 120810019141.0, 120499702021.0, 121050148022.0, 120090650011.0, 120710014012.0]","[121050161001.0, 120860140001.0, 121050116062.0, 120499703005.0, 120990080021.0, 121050160032.0, 120950169023.0, 120810019141.0, 121050148022.0, 120499702021.0]","[120710103044, 120150304012, 120710103044, 120710104073, 120860080004, 120990005053, 120710104073, 121150020052, 120860080004, 120710103044]","[120150304012, 120150304012, 120860046021, 120150304012, 120150304012, 120990011021, 120860046021, 120150304012, 120860046021, 120710107013]",1000
210,11,222531.8966866038,17,"[121050161001.0, 121050116062.0, 120499703005.0, 121050160032.0, 120950169023.0, 120810019141.0, 120499702021.0, 121050148022.0, 120090650011.0, 120710014012.0]","[121050161001.0, 120860140001.0, 121050116062.0, 120499703005.0, 120990080021.0, 121050160032.0, 120950169023.0, 120810019141.0, 121050148022.0, 120499702021.0]","[120710103044, 120150304012, 120710103044, 120710104073, 120860080004, 120990005053, 120710104073, 121150020052, 120860080004, 120710103044]","[120150304012, 120150304012, 120860046021, 120150304012, 120150304012, 120990011021, 120860046021, 120150304012, 120860046021, 120710107013]",1000
211,11,222531.8966866038,18,"[121050161001.0, 121050116062.0, 120499703005.0, 121050160032.0, 120950169023.0, 120810019141.0, 120499702021.0, 121050148022.0, 120090650011.0, 120710014012.0]","[121050161001.0, 120860140001.0, 121050116062.0, 120499703005.0, 120990080021.0, 121050160032.0, 120950169023.0, 120810019141.0, 121050148022.0, 120499702021.0]","[120710103044, 120150304012, 120710103044, 120710104073, 120860080004, 120990005053, 120710104073, 121150020052, 120860080004, 120710103044]","[120150304012, 120150304012, 120860046021, 120150304012, 120150304012, 120990011021, 120860046021, 120150304012, 120860046021, 120710107013]",1000
212,11,222531.8966866038,19,"[121050161001.0, 121050116062.0, 120499703005.0, 121050160032.0, 120950169023.0, 120810019141.0, 120499702021.0, 121050148022.0, 120090650011.0, 120710014012.0]","[121050161001.0, 120860140001.0, 121050116062.0, 120499703005.0, 120990080021.0, 121050160032.0, 120950169023.0, 120810019141.0, 121050148022.0, 120499702021.0]","[120710103044, 120150304012, 120710103044, 120710104073, 120860080004, 120990005053, 120710104073, 121150020052, 120860080004, 120710103044]","[120150304012, 120150304012, 120860046021, 120150304012, 120150304012, 120990011021, 120860046021, 120150304012, 120860046021, 120710107013]",1000
213,11,222531.8966866038,20,"[121050161001.0, 121050116062.0, 120499703005.0, 121050160032.0, 120950169023.0, 120810019141.0, 120499702021.0, 121050148022.0, 120090650011.0, 120710014012.0]","[121050161001.0, 120860140001.0, 121050116062.0, 120499703005.0, 120990080021.0, 121050160032.0, 120950169023.0, 120810019141.0, 121050148022.0, 120499702021.0]","[120710103044, 120150304012, 120710103044, 120710104073, 120860080004, 120990005053, 120710104073, 121150020052, 120860080004, 120710103044]","[120150304012, 120150304012, 120860046021, 120150304012, 120150304012, 120990011021, 120860046021, 120150304012, 120860046021, 120710107013]",1000
214,11,222531.8966866038,21,"[121050161001.0, 121050116062.0, 120499703005.0, 121050160032.0, 120950169023.0, 120810019141.0, 120499702021.0, 121050148022.0, 120090650011.0, 120710014012.0]","[121050161001.0, 120860140001.0, 121050116062.0, 120499703005.0, 120990080021.0, 121050160032.0, 120950169023.0, 120810019141.0, 121050148022.0, 120499702021.0]","[120710103044, 120150304012, 120710103044, 120710104073, 120860080004, 120990005053, 120710104073, 121150020052, 120860080004, 120710103044]","[120150304012, 120150304012, 120860046021, 120150304012, 120150304012, 120990011021, 120860046021, 120150304012, 120860046021, 120710107013]",1000
215,11,222531.8966866038,22,"[121050161001.0, 121050116062.0, 120499703005.0, 121050160032.0, 120950169023.0, 120810019141.0, 120499702021.0, 121050148022.0, 120090650011.0, 120710014012.0]","[121050161001.0, 120860140001.0, 121050116062.0, 120499703005.0, 120990080021.0, 121050160032.0, 120950169023.0, 120810019141.0, 121050148022.0, 120499702021.0]","[120710103044, 120150304012, 120710103044, 120710104073, 120860080004, 120990005053, 120710104073, 121150020052, 120860080004, 120710103044]","[120150304012, 120150304012, 120860046021, 120150304012, 120150304012, 120990011021, 120860046021, 120150304012, 120860046021, 120710107013]",1000
216,11,222531.8966866038,23,"[121050161001.0, 121050116062.0, 120499703005.0, 121050160032.0, 120950169023.0, 120810019141.0, 120499702021.0, 121050148022.0, 120090650011.0, 120710014012.0]","[121050161001.0, 120860140001.0, 121050116062.0, 120499703005.0, 120990080021.0, 121050160032.0, 120950169023.0, 120810019141.0, 121050148022.0, 120499702021.0]","[120710103044, 120150304012, 120710103044, 120710104073, 120860080004, 120990005053, 120710104073, 121150020052, 120860080004, 120710103044]","[120150304012, 120150304012, 120860046021, 120150304012, 120150304012, 120990011021, 120860046021, 120150304012, 120860046021, 120710107013]",1000
217,11,222531.8966866038,24,"[121050161001.0, 121050116062.0, 120499703005.0, 121050160032.0, 120950169023.0, 120810019141.0, 120499702021.0, 121050148022.0, 120090650011.0, 120710014012.0]","[121050161001.0, 120860140001.0, 121050116062.0, 120499703005.0, 120990080021.0, 121050160032.0, 120950169023.0, 120810019141.0, 121050148022.0, 120499702021.0]","[120710103044, 120150304012, 120710103044, 120710104073, 120860080004, 120990005053, 120710104073, 121150020052, 120860080004, 120710103044]","[120150304012, 120150304012, 120860046021, 120150304012, 120150304012, 120990011021, 120860046021, 120150304012, 120860046021, 120710107013]",1000
218,12,386122.5078151735,1,"[120990078181.0, 120860140001.0, 120990080021.0, 121050161001.0, 120310103011.0, 120860052023.0, 120990058081.0, 120610502004.0, 120860091002.0, 120499703005.0]","[120860140001.0, 120990078181.0, 120990080021.0, 120860141001.0, 121113822002.0, 120860052023.0, 120990058081.0, 120860124004.0, 120610502004.0, 120010019022.0]","[120860080004, 120860080004, 120990005053, 120110920003, 120860046021, 120710103044, 120860080004, 120110920003, 120150304012, 120710103044]","[120860046021, 120150304012, 120990011021, 120860046021, 120860046021, 120860046021, 120860037026, 120150304012, 120150304012, 120150304012]",1000
219,12,386122.5159466588,2,"[120990078181.0, 120860140001.0, 120990080021.0, 121050161001.0, 120310103011.0, 120860052023.0, 120990058081.0, 120610502004.0, 120860091002.0, 120499703005.0]","[120860140001.0, 120990078181.0, 120990080021.0, 120860141001.0, 121113822002.0, 120860052023.0, 120990058081.0, 120860124004.0, 120610502004.0, 120010019022.0]","[120860080004, 120860080004, 120990005053, 120110920003, 120860046021, 120710103044, 120860080004, 120110920003, 120150304012, 120710103044]","[120860046021, 120150304012, 120990011021, 120860046021, 120860046021, 120860046021, 120860037026, 120150304012, 120150304012, 120150304012]",1000
220,12,386122.5158110614,3,"[120990078181.0, 120860140001.0, 120990080021.0, 121050161001.0, 120310103011.0, 120860052023.0, 120990058081.0, 120610502004.0, 120860091002.0, 120499703005.0]","[120860140001.0, 120990078181.0, 120990080021.0, 120860141001.0, 121113822002.0, 120860052023.0, 120990058081.0, 120860124004.0, 120610502004.0, 120010019022.0]","[120860080004, 120860080004, 120990005053, 120110920003, 120860046021, 120710103044, 120860080004, 120110920003, 120150304012, 120710103044]","[120860046021, 120150304012, 120990011021, 120860046021, 120860046021, 120860046021, 120860037026, 120150304012, 120150304012, 120150304012]",1000
221,12,386122.5157314349,4,"[120990078181.0, 120860140001.0, 120990080021.0, 121050161001.0, 120310103011.0, 120860052023.0, 120990058081.0, 120610502004.0, 120860091002.0, 120499703005.0]","[120860140001.0, 120990078181.0, 120990080021.0, 120860141001.0, 121113822002.0, 120860052023.0, 120990058081.0, 120860124004.0, 120610502004.0, 120010019022.0]","[120860080004, 120860080004, 120990005053, 120110920003, 120860046021, 120710103044, 120860080004, 120110920003, 120150304012, 120710103044]","[120860046021, 120150304012, 120990011021, 120860046021, 120860046021, 120860046021, 120860037026, 120150304012, 120150304012, 120150304012]",1000
222,12,386122.5156778935,5,"[120990078181.0, 120860140001.0, 120990080021.0, 121050161001.0, 120310103011.0, 120860052023.0, 120990058081.0, 120610502004.0, 120860091002.0, 120499703005.0]","[120860140001.0, 120990078181.0, 120990080021.0, 120860141001.0, 121113822002.0, 120860052023.0, 120990058081.0, 120860124004.0, 120610502004.0, 120010019022.0]","[120860080004, 120860080004, 120990005053, 120110920003, 120860046021, 120710103044, 120860080004, 120110920003, 120150304012, 120710103044]","[120860046021, 120150304012, 120990011021, 120860046021, 120860046021, 120860046021, 120860037026, 120150304012, 120150304012, 120150304012]",1000
223,12,386122.5156418104,6,"[120990078181.0, 120860140001.0, 120990080021.0, 121050161001.0, 120310103011.0, 120860052023.0, 120990058081.0, 120610502004.0, 120860091002.0, 120499703005.0]","[120860140001.0, 120990078181.0, 120990080021.0, 120860141001.0, 121113822002.0, 120860052023.0, 120990058081.0, 120860124004.0, 120610502004.0, 120010019022.0]","[120860080004, 120860080004, 120990005053, 120110920003, 120860046021, 120710103044, 120860080004, 120110920003, 120150304012, 120710103044]","[120860046021, 120150304012, 120990011021, 120860046021, 120860046021, 120860046021, 120860037026, 120150304012, 120150304012, 120150304012]",1000
224,12,386122.51561748935,7,"[120990078181.0, 120860140001.0, 120990080021.0, 121050161001.0, 120310103011.0, 120860052023.0, 120990058081.0, 120610502004.0, 120860091002.0, 120499703005.0]","[120860140001.0, 120990078181.0, 120990080021.0, 120860141001.0, 121113822002.0, 120860052023.0, 120990058081.0, 120860124004.0, 120610502004.0, 120010019022.0]","[120860080004, 120860080004, 120990005053, 120110920003, 120860046021, 120710103044, 120860080004, 120110920003, 120150304012, 120710103044]","[120860046021, 120150304012, 120990011021, 120860046021, 120860046021, 120860046021, 120860037026, 120150304012, 120150304012, 120150304012]",1000
225,12,386122.515601095,8,"[120990078181.0, 120860140001.0, 120990080021.0, 121050161001.0, 120310103011.0, 120860052023.0, 120990058081.0, 120610502004.0, 120860091002.0, 120499703005.0]","[120860140001.0, 120990078181.0, 120990080021.0, 120860141001.0, 121113822002.0, 120860052023.0, 120990058081.0, 120860124004.0, 120610502004.0, 120010019022.0]","[120860080004, 120860080004, 120990005053, 120110920003, 120860046021, 120710103044, 120860080004, 120110920003, 120150304012, 120710103044]","[120860046021, 120150304012, 120990011021, 120860046021, 120860046021, 120860046021, 120860037026, 120150304012, 120150304012, 120150304012]",1000
226,12,386122.5155900434,9,"[120990078181.0, 120860140001.0, 120990080021.0, 121050161001.0, 120310103011.0, 120860052023.0, 120990058081.0, 120610502004.0, 120860091002.0, 120499703005.0]","[120860140001.0, 120990078181.0, 120990080021.0, 120860141001.0, 121113822002.0, 120860052023.0, 120990058081.0, 120860124004.0, 120610502004.0, 120010019022.0]","[120860080004, 120860080004, 120990005053, 120110920003, 120860046021, 120710103044, 120860080004, 120110920003, 120150304012, 120710103044]","[120860046021, 120150304012, 120990011021, 120860046021, 120860046021, 120860046021, 120860037026, 120150304012, 120150304012, 120150304012]",1000
227,12,386122.5155825931,10,"[120990078181.0, 120860140001.0, 120990080021.0, 121050161001.0, 120310103011.0, 120860052023.0, 120990058081.0, 120610502004.0, 120860091002.0, 120499703005.0]","[120860140001.0, 120990078181.0, 120990080021.0, 120860141001.0, 121113822002.0, 120860052023.0, 120990058081.0, 120860124004.0, 120610502004.0, 120010019022.0]","[120860080004, 120860080004, 120990005053, 120110920003, 120860046021, 120710103044, 120860080004, 120110920003, 120150304012, 120710103044]","[120860046021, 120150304012, 120990011021, 120860046021, 120860046021, 120860046021, 120860037026, 120150304012, 120150304012, 120150304012]",1000
228,12,386122.5155775706,11,"[120990078181.0, 120860140001.0, 120990080021.0, 121050161001.0, 120310103011.0, 120860052023.0, 120990058081.0, 120610502004.0, 120860091002.0, 120499703005.0]","[120860140001.0, 120990078181.0, 120990080021.0, 120860141001.0, 121113822002.0, 120860052023.0, 120990058081.0, 120860124004.0, 120610502004.0, 120010019022.0]","[120860080004, 120860080004, 120990005053, 120110920003, 120860046021, 120710103044, 120860080004, 120110920003, 120150304012, 120710103044]","[120860046021, 120150304012, 120990011021, 120860046021, 120860046021, 120860046021, 120860037026, 120150304012, 120150304012, 120150304012]",1000
229,12,386122.51557418454,12,"[120990078181.0, 120860140001.0, 120990080021.0, 121050161001.0, 120310103011.0, 120860052023.0, 120990058081.0, 120610502004.0, 120860091002.0, 120499703005.0]","[120860140001.0, 120990078181.0, 120990080021.0, 120860141001.0, 121113822002.0, 120860052023.0, 120990058081.0, 120860124004.0, 120610502004.0, 120010019022.0]","[120860080004, 120860080004, 120990005053, 120110920003, 120860046021, 120710103044, 120860080004, 120110920003, 120150304012, 120710103044]","[120860046021, 120150304012, 120990011021, 120860046021, 120860046021, 120860046021, 120860037026, 120150304012, 120150304012, 120150304012]",1000
230,12,386122.51557190175,13,"[120990078181.0, 120860140001.0, 120990080021.0, 121050161001.0, 120310103011.0, 120860052023.0, 120990058081.0, 120610502004.0, 120860091002.0, 120499703005.0]","[120860140001.0, 120990078181.0, 120990080021.0, 120860141001.0, 121113822002.0, 120860052023.0, 120990058081.0, 120860124004.0, 120610502004.0, 120010019022.0]","[120860080004, 120860080004, 120990005053, 120110920003, 120860046021, 120710103044, 120860080004, 120110920003, 120150304012, 120710103044]","[120860046021, 120150304012, 120990011021, 120860046021, 120860046021, 120860046021, 120860037026, 120150304012, 120150304012, 120150304012]",1000
231,12,386122.5155703628,14,"[120990078181.0, 120860140001.0, 120990080021.0, 121050161001.0, 120310103011.0, 120860052023.0, 120990058081.0, 120610502004.0, 120860091002.0, 120499703005.0]","[120860140001.0, 120990078181.0, 120990080021.0, 120860141001.0, 121113822002.0, 120860052023.0, 120990058081.0, 120860124004.0, 120610502004.0, 120010019022.0]","[120860080004, 120860080004, 120990005053, 120110920003, 120860046021, 120710103044, 120860080004, 120110920003, 120150304012, 120710103044]","[120860046021, 120150304012, 120990011021, 120860046021, 120860046021, 120860046021, 120860037026, 120150304012, 120150304012, 120150304012]",1000
232,12,386122.51556932525,15,"[120990078181.0, 120860140001.0, 120990080021.0, 121050161001.0, 120310103011.0, 120860052023.0, 120990058081.0, 120610502004.0, 120860091002.0, 120499703005.0]","[120860140001.0, 120990078181.0, 120990080021.0, 120860141001.0, 121113822002.0, 120860052023.0, 120990058081.0, 120860124004.0, 120610502004.0, 120010019022.0]","[120860080004, 120860080004, 120990005053, 120110920003, 120860046021, 120710103044, 120860080004, 120110920003, 120150304012, 120710103044]","[120860046021, 120150304012, 120990011021, 120860046021, 120860046021, 120860046021, 120860037026, 120150304012, 120150304012, 120150304012]",1000
233,12,386122.51556862576,16,"[120990078181.0, 120860140001.0, 120990080021.0, 121050161001.0, 120310103011.0, 120860052023.0, 120990058081.0, 120610502004.0, 120860091002.0, 120499703005.0]","[120860140001.0, 120990078181.0, 120990080021.0, 120860141001.0, 121113822002.0, 120860052023.0, 120990058081.0, 120860124004.0, 120610502004.0, 120010019022.0]","[120860080004, 120860080004, 120990005053, 120110920003, 120860046021, 120710103044, 120860080004, 120110920003, 120150304012, 120710103044]","[120860046021, 120150304012, 120990011021, 120860046021, 120860046021, 120860046021, 120860037026, 120150304012, 120150304012, 120150304012]",1000
234,12,386122.5155681542,17,"[120990078181.0, 120860140001.0, 120990080021.0, 121050161001.0, 120310103011.0, 120860052023.0, 120990058081.0, 120610502004.0, 120860091002.0, 120499703005.0]","[120860140001.0, 120990078181.0, 120990080021.0, 120860141001.0, 121113822002.0, 120860052023.0, 120990058081.0, 120860124004.0, 120610502004.0, 120010019022.0]","[120860080004, 120860080004, 120990005053, 120110920003, 120860046021, 120710103044, 120860080004, 120110920003, 120150304012, 120710103044]","[120860046021, 120150304012, 120990011021, 120860046021, 120860046021, 120860046021, 120860037026, 120150304012, 120150304012, 120150304012]",1000
235,12,386122.5155678363,18,"[120990078181.0, 120860140001.0, 120990080021.0, 121050161001.0, 120310103011.0, 120860052023.0, 120990058081.0, 120610502004.0, 120860091002.0, 120499703005.0]","[120860140001.0, 120990078181.0, 120990080021.0, 120860141001.0, 121113822002.0, 120860052023.0, 120990058081.0, 120860124004.0, 120610502004.0, 120010019022.0]","[120860080004, 120860080004, 120990005053, 120110920003, 120860046021, 120710103044, 120860080004, 120110920003, 120150304012, 120710103044]","[120860046021, 120150304012, 120990011021, 120860046021, 120860046021, 120860046021, 120860037026, 120150304012, 120150304012, 120150304012]",1000
236,12,386122.515567622,19,"[120990078181.0, 120860140001.0, 120990080021.0, 121050161001.0, 120310103011.0, 120860052023.0, 120990058081.0, 120610502004.0, 120860091002.0, 120499703005.0]","[120860140001.0, 120990078181.0, 120990080021.0, 120860141001.0, 121113822002.0, 120860052023.0, 120990058081.0, 120860124004.0, 120610502004.0, 120010019022.0]","[120860080004, 120860080004, 120990005053, 120110920003, 120860046021, 120710103044, 120860080004, 120110920003, 120150304012, 120710103044]","[120860046021, 120150304012, 120990011021, 120860046021, 120860046021, 120860046021, 120860037026, 120150304012, 120150304012, 120150304012]",1000
237,12,386122.51556747744,20,"[120990078181.0, 120860140001.0, 120990080021.0, 121050161001.0, 120310103011.0, 120860052023.0, 120990058081.0, 120610502004.0, 120860091002.0, 120499703005.0]","[120860140001.0, 120990078181.0, 120990080021.0, 120860141001.0, 121113822002.0, 120860052023.0, 120990058081.0, 120860124004.0, 120610502004.0, 120010019022.0]","[120860080004, 120860080004, 120990005053, 120110920003, 120860046021, 120710103044, 120860080004, 120110920003, 120150304012, 120710103044]","[120860046021, 120150304012, 120990011021, 120860046021, 120860046021, 120860046021, 120860037026, 120150304012, 120150304012, 120150304012]",1000
238,12,386122.51556738,21,"[120990078181.0, 120860140001.0, 120990080021.0, 121050161001.0, 120310103011.0, 120860052023.0, 120990058081.0, 120610502004.0, 120860091002.0, 120499703005.0]","[120860140001.0, 120990078181.0, 120990080021.0, 120860141001.0, 121113822002.0, 120860052023.0, 120990058081.0, 120860124004.0, 120610502004.0, 120010019022.0]","[120860080004, 120860080004, 120990005053, 120110920003, 120860046021, 120710103044, 120860080004, 120110920003, 120150304012, 120710103044]","[120860046021, 120150304012, 120990011021, 120860046021, 120860046021, 120860046021, 120860037026, 120150304012, 120150304012, 120150304012]",1000
